given_name,created_date,last_modified_date,family_name,credit_name,other_names,orcid_identifier_path,biography,researcher_urls,emails,keywords,external_ids,organization_name,organization_address_city,organization_address_region,organization_address_country,organization_disambiguated_organization_identifier,organization_disambiguation_source,department_name,role_title,url_value,display_index,visibility,created_date_value,start_date_year_value,start_date_month_value,start_date_day_value,end_date_year_value,end_date_month_value,end_date_day_value
Mohammad Sadegh,2019-12-06,2019-12-06,Majdi,NA,,0000-0003-2654-3006,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jennifer,2016-08-09,2016-08-09,Martin,Jennifer R. Martin,,0000-0001-7528-1271,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James,2017-03-29,2017-03-29,Liebert,NA,,0000-0002-9099-0102,NA,,,,,University of Arizona,Tucson,AZ,US,8041,RINGGOLD,Department of Astronomy and Steward Observatory ,Professor (retired) ,NA,0,public,2017-03-29,1979,05,01,NA,NA,NA
Paul,2019-03-07,2019-03-07,Hein,NA,,0000-0002-2244-4900,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mary,2016-12-01,2016-12-01,Bell,Mary E. Bell,,0000-0002-2338-1382,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeroen,2020-03-18,2020-03-18,Gevers,NA,,0000-0003-2106-9456,NA,,,,,University of Arizona,Tucson,AZ,US,8041,RINGGOLD,Writing Program,Graduate Associate in Teaching,NA,1,public,2020-03-18,NA,NA,NA,NA,NA,NA
Mona L,2021-06-07,2021-06-07,Hymel,NA,,0000-0003-3549-9342,NA,,,,,University of Arizona,Tucson,Arizona,US,grid.134563.6,GRID,James E. Rogers College of Law,Arthur W. Andrews Professor of Law,NA,1,public,2021-06-08,2008,05,NA,NA,NA,NA
Rachel,2018-11-29,2018-11-29,Meyer,NA,,0000-0002-6314-1244,NA,,,,,University of Arizona,Tucson,Arizona,US,grid.134563.6,GRID,Nutritional Sciences,Graduate Research Assistant,NA,1,public,2021-06-21,2021,06,NA,NA,NA,NA
Marc,2016-04-15,2016-04-15,Miller,NA,,0000-0002-5316-8515,"Marc L. Miller is the Dean & Ralph W. Bilby Professor of Law at the University of Arizona College of Law. Dean Miller taught at Emory University Law School from 1988-2005, where he served as Associate Dean for Faculty and Scholarship (2003-2005). He is a graduate of the University of Chicago Law School and Pomona College, and grew up in Los Angeles.

Dean Miller writes and teaches about environmental law and policy and criminal law and policy. He is the author of more than 70 articles and essays on a wide range of environmental, criminal justice, immigration and legal theory topics. He is editor of several casebooks on criminal procedure and sentencing, and co-founded the Federal Sentencing Reporter, the leading journal on sentencing law and policy and a joint project of the Vera Institute of Justice and the University of California Press. He currently serves as a series editor for Summits - books focused on the intersection of environmental science, law, and policy.

Dean Miller's scholarship addresses the nature of law. On the criminal side, current work includes a series of articles on the role and regulation of prosecutorial discretion, including a multi-year empirical evaluation of prosecutorial decision-making. At a more general theoretical level, this work deals with policymaking within executive branch agencies, especially in those areas not readily amenable to external judicial or legislative review. His environmental work highlights topics at the intersection of environmental science, policy, and law with special attention to the concept of sustainability and to the relationship between science and environmental policy-making. Much of his environmental work is done in collaboration with natural and social scientists.

At Arizona, Dean Miller serves as co-director of the Arizona Law Program in Criminal Law and Policy, and has joint and affiliated appointments with the University of Arizona Institute of the Environment, the Environmental Health Sciences Program of the University of Arizona Zuckerman School of Public Health, and with the Global Change PhD minor, among other programs and institutes. He serves on various university committees, including a workgroup through the McGuire Center for Entrepreneurship at the Eller College of Management to create a new Masters program focusing on capitalizing ventures. He also serves on the steering committee developing a new graduate degree certificate program in American Indian natural resource, and as Associate Director for Interdisciplinary Education for the Arizona Telemedicine Program.

Before teaching, Dean Miller served as law clerk to Chief Judge John Godbold of the U.S. Court of Appeals for the Eleventh Circuit, as Attorney-Advisor in the Office of Legal Counsel of the U.S. Department of Justice, and as Special Counsel at the Vera Institute of Justice in New York. Dean Miller has been a visiting professor at Stanford Law School and Duke Law School. Dean Miller is a member of the American Law Institute (ALI), and an advisor to various criminal justice and environmental publications and organizations.",,,,,University of Arizona,Tucson,Arizona,US,grid.134563.6,GRID,James E. Rogers College of Law,Ralph W. Bilby Professor of Law,NA,1,public,2021-06-25,2006,NA,NA,NA,NA,NA
Tina,2017-04-14,2017-04-14,Lee,NA,,0000-0002-5284-7751,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
